table,row_count_inserted,column_count,primary_key,foreign_key_count,foreign_keys,index_count,indexes,unique_key_count,unique_keys
cf001,6,7,,0,,0,,0,
cf002,553,4,,0,,0,,0,
cf003,570,9,,0,,0,,0,
cf004,3449,2,,0,,0,,0,
chklistvendor,238,3,,0,,0,,0,
cmms_accessright_mst,3221,11,"ACC_MOD_ID,ACC_ROLE",2,FK_CMMS_ACCESSRIGHT_MST_CMMS_MODULE_MST:(ACC_MOD_ID)->cmms_module_mst(MOD_ID); FK_CMMS_ACCESSRIGHT_MST_CMMS_ROLE_MST:(ACC_ROLE)->cmms_role_mst(ROLE_ID),1,FK_CMMS_ACCESSRIGHT_MST_CMMS_ROLE_MST:(ACC_ROLE),0,
cmms_amc_mst,0,11,AMC_ID,2,FK_CMMS_AMC_MST_CMMS_BUDGET_MST:(AMC_BUDGET_ID)->cmms_lineitem_mst(LITM_ID); FK_CMMS_AMC_MST_CMMS_CONT_MST:(AMC_VENDERID)->cmms_cont_mst(CMM_CONT_ID),2,FK_CMMS_AMC_MST_CMMS_BUDGET_MST:(AMC_BUDGET_ID); FK_CMMS_AMC_MST_CMMS_CONT_MST:(AMC_VENDERID),0,
cmms_cal_jobcard_feedback_spec,0,4,,0,,0,,0,
cmms_checklist_hist,811,7,,0,,0,,0,
cmms_checklist_mst,928,9,CHKL_ID,1,FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST:(CHKL_MAKE)->cmms_cont_mst(CMM_CONT_ID),1,FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST:(CHKL_MAKE),0,
cmms_checklist_tasks,7536,2,"CLTSK_ID,CLTSK_TASKID",2,FK_CMMS_CHECKLIST_TASKS_CMMS_CHECKLIST_MST:(CLTSK_ID)->cmms_checklist_mst(CHKL_ID); FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST:(CLTSK_TASKID)->cmms_task_mst(TSK_ID),1,FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST:(CLTSK_TASKID),0,
cmms_checklist_tasks_hist,8450,4,,0,,0,,0,
cmms_designation_mst,40,8,DG_ID,0,,0,,0,
cmms_device_spares_mst,67,8,DS_ID,0,,0,,0,
cmms_division_hist,3676,7,,1,"FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST:(EQD_EQM_TYPE,EQD_EQM_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID)",1,"FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST:(EQD_EQM_TYPE,EQD_EQM_ID)",0,
cmms_documentno_mst,151,6,"DocumentType,DocumentYear",0,,0,,0,
cmms_emp_mst,57,30,EMM_ID,2,FK_CMMS_EMP_MST_CMMS_ROLE_MST:(EMM_ROLE)->cmms_role_mst(ROLE_ID); FK_CMMS_EMP_MST_CMMS_SECTION_MST:(EMM_DEPT)->cmms_section_mst(SM_ID),2,FK_CMMS_EMP_MST_CMMS_SECTION_MST:(EMM_DEPT); FK_CMMS_EMP_MST_CMMS_ROLE_MST:(EMM_ROLE),0,
cmms_eqip_detail_spec,3,4,"EDS_EQIP_TYPE,EDS_EQIP_ID,EDS_FILENAME",1,"FK_CMMS_EQIP_DETAIL_SPEC_CMMS_EQIP_MST:(EDS_EQIP_TYPE,EDS_EQIP_ID)->cmms_eqip_mst(EQM_TYPE,EQM_ID)",0,,0,
